"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2001","Mariners","2043","6474","169","927","881","174","9.5 %","15.3 %",".157",".320",".288",".360",".445",".347","116","16.2","143.0","84.6","44.4"
"1998","Braves","1971","6217","215","826","794","98","8.8 %","17.1 %",".181",".300",".272",".342",".453",".346","108","0.8","61.7","124.6","37.6"
"2016","Cubs","2332","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","17.3","61.3","105.5","37.2"
"1996","Mariners","1736","6518","245","993","954","90","10.3 %","16.1 %",".197",".312",".287",".366",".484",".367","112","-1.2","109.5","33.1","37.1"
"2011","Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","38.5","37.0"
"2013","Red Sox","2264","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","13.3","116.7","14.9","36.6"
"2015","Blue Jays","2337","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","11.0","135.9","5.0","36.5"
"1990","Athletics","1891","6240","164","733","693","141","10.4 %","15.9 %",".137",".281",".254",".336",".391",".329","109","4.3","70.6","85.0","36.4"
"2011","Red Sox","2269","6414","203","875","842","102","9.0 %","17.3 %",".181",".314",".280",".349",".461",".352","117","-12.2","114.3","16.2","36.4"
"1998","Yankees","1962","6444","207","965","907","153","10.1 %","15.9 %",".172",".317",".288",".364",".460",".360","116","3.1","138.5","6.9","36.1"
"2010","Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","101.3","35.8"
"2003","Braves","2362","6378","235","907","872","68","8.5 %","14.6 %",".192",".302",".284",".349",".475",".354","112","9.5","105.3","46.7","35.6"
"1993","Giants","2229","6271","168","808","759","120","8.2 %","14.8 %",".151",".303",".276",".340",".427",".337","107","-1.7","55.6","75.0","35.3"
"2016","Red Sox","2284","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","10.6","109.9","15.9","35.2"
"1998","Astros","2125","6441","166","874","818","155","9.6 %","17.4 %",".156",".321",".280",".356",".436",".347","113","8.7","112.1","44.5","35.2"
"2018","Dodgers","2574","6358","235","804","756","75","10.2 %","22.6 %",".191",".294",".250",".333",".442",".333","111","11.4","99.0","41.6","35.1"
"2002","Giants","2263","6304","198","784","751","74","9.8 %","15.2 %",".175",".289",".266",".344",".442",".338","109","2.8","73.5","72.1","35.1"
"2009","Rays","2345","6223","199","803","765","194","10.3 %","19.7 %",".177",".303",".263",".343",".439",".342","109","21.6","90.5","40.2","35.0"
"2007","Phillies","2446","6537","213","892","850","138","9.8 %","18.4 %",".184",".311",".274",".354",".458",".351","105","20.6","63.6","78.5","34.9"
"2000","Giants","2123","6418","226","925","889","79","11.0 %","16.1 %",".194",".303",".278",".362",".472",".359","112","-1.3","103.7","53.7","34.7"
"1999","Indians","1859","6554","209","1009","960","147","11.3 %","16.8 %",".177",".323",".289",".373",".467",".367","112","6.9","114.5","18.6","34.4"
"2003","Cardinals","2391","6466","196","876","827","82","9.0 %","14.7 %",".175",".302",".279",".350",".454",".346","109","9.2","83.9","53.5","34.4"
