"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cardinals","2396","6370","174","779","744","73","9.1 %","15.5 %",".152",".312",".281",".350",".433",".342","107","-10.0","46.4","93.3","34.2"
"Red Sox","2293","6402","173","845","807","120","10.1 %","16.7 %",".168",".315",".280",".358",".447",".351","110","-4.7","72.2","39.1","33.3"
"Phillies","2396","6273","214","799","762","136","9.3 %","17.8 %",".182",".283",".255",".332",".438",".334","98","23.6","4.7","122.7","32.6"
"Cubs","2345","6384","184","855","811","87","10.0 %","18.6 %",".165",".321",".278",".354",".443",".349","104","6.1","33.2","70.0","30.6"
"Rays","2299","6312","180","774","735","142","9.9 %","19.4 %",".162",".302",".260",".340",".422",".335","105","5.6","43.8","34.2","29.7"
"Mets","2405","6388","172","799","751","138","9.7 %","16.0 %",".154",".296",".266",".340",".420",".332","100","12.7","13.4","68.6","28.5"
"Braves","2407","6368","130","753","721","58","9.7 %","16.1 %",".138",".309",".270",".345",".408",".332","99","-5.8","-12.5","58.5","24.8"
"Brewers","2227","6252","198","750","722","108","8.8 %","19.2 %",".179",".287",".253",".325",".431",".329","97","8.9","-11.7","60.8","24.8"
"Indians","2199","6299","171","805","772","77","8.9 %","19.3 %",".162",".305",".262",".339",".424",".334","103","0.7","24.6","-7.8","23.5"
"Astros","2312","6051","167","712","684","114","7.4 %","17.4 %",".152",".296",".263",".323",".415",".322","94","0.4","-49.2","88.6","23.2"
"Rangers","2281","6478","194","901","867","81","9.2 %","18.6 %",".179",".325",".283",".354",".462",".355","112","11.1","108.1","-103.4","23.0"
"Yankees","2330","6257","180","789","758","118","8.6 %","16.2 %",".156",".302",".271",".342",".427",".338","104","-6.7","24.3","-28.6","21.3"
"Orioles","2340","6211","172","782","750","81","8.6 %","15.9 %",".162",".296",".267",".333",".429",".333","99","-5.1","-17.0","-1.7","19.7"
"Twins","2287","6331","111","829","791","102","8.4 %","15.5 %",".129",".316",".279",".340",".408",".328","99","12.3","4.7","-37.1","18.8"
"Marlins","2361","6206","208","770","741","76","8.7 %","22.1 %",".179",".300",".254",".326",".433",".330","96","5.7","-27.5","11.9","18.2"
"Angels","2229","6155","159","765","721","129","7.8 %","16.0 %",".145",".299",".268",".330",".413",".324","96","-1.0","-30.9","-4.4","17.8"
"Blue Jays","2244","6191","126","714","681","80","8.4 %","15.2 %",".135",".295",".264",".331",".399",".322","94","-10.9","-60.7","20.9","17.5"
"Tigers","2267","6331","200","821","780","63","9.0 %","17.0 %",".173",".301",".271",".340",".444",".343","106","-6.7","42.3","-93.0","16.9"
"Dodgers","2376","6194","137","700","659","126","8.8 %","16.7 %",".134",".301",".264",".333",".399",".321","93","5.1","-51.1","17.8","16.4"
"White Sox","2298","6231","235","811","785","67","8.7 %","16.3 %",".185",".281",".263",".332",".448",".339","101","-27.4","-17.7","-49.7","14.9"
"Athletics","2282","6138","125","646","610","88","9.4 %","20.0 %",".127",".289",".242",".318",".369",".306","86","12.4","-92.6","26.2","14.7"
"Reds","2392","6188","187","704","677","85","9.0 %","18.2 %",".161",".278",".247",".321",".408",".319","87","1.1","-103.3","49.0","14.3"
"Padres","2343","6244","154","637","615","36","8.3 %","20.2 %",".140",".294",".250",".317",".390",".311","92","-4.2","-63.7","-2.8","13.2"
"Giants","2382","6145","94","640","606","108","7.4 %","17.0 %",".120",".305",".262",".321",".382",".309","83","-15.4","-149.4","51.6","9.8"
"Diamondbacks","2280","6156","159","720","683","58","9.5 %","20.9 %",".164",".299",".251",".327",".415",".324","88","12.1","-83.9","-16.1","9.6"
"Nationals","2397","6192","117","641","608","81","8.6 %","17.7 %",".122",".292",".251",".323",".373",".310","84","-16.8","-145.4","30.9","8.3"
"Rockies","2310","6312","160","747","714","141","9.0 %","19.2 %",".152",".308",".263",".336",".415",".330","88","15.2","-80.7","-40.3","8.0"
"Royals","2250","6118","120","691","650","79","6.4 %","16.4 %",".128",".307",".269",".320",".397",".315","87","-9.5","-109.1","-27.7","7.6"
"Mariners","2296","6176","124","671","631","90","6.8 %","14.4 %",".124",".294",".265",".318",".389",".310","90","-8.9","-86.1","-57.0","7.2"
"Pirates","2340","6278","153","735","705","57","7.6 %","16.5 %",".145",".290",".258",".320",".403",".317","89","0.1","-89.2","-40.4","7.1"
