"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Astros","103","59","46","672","162","1455.0","10.44","2.69","0.94",".283","77.9 %","44.0 %","11.6 %","3.11","3.23","3.36","29.4"
"Yankees","100","62","49","670","162","1456.1","10.10","3.05","1.09",".300","73.9 %","42.9 %","12.9 %","3.78","3.63","3.61","25.5"
"Indians","91","71","41","670","162","1457.1","9.54","2.51","1.24",".298","76.0 %","42.5 %","13.7 %","3.77","3.79","3.66","22.2"
"Phillies","80","82","44","758","162","1445.2","9.12","3.11","1.06",".303","71.0 %","45.4 %","12.4 %","4.15","3.83","3.87","19.0"
"Dodgers","92","71","48","756","163","1476.0","9.54","2.57","1.09",".284","76.2 %","44.9 %","13.4 %","3.40","3.60","3.52","18.2"
"Red Sox","108","54","46","697","162","1458.2","9.61","3.16","1.09",".294","75.8 %","42.4 %","11.9 %","3.75","3.82","3.92","18.1"
"Rockies","91","72","51","681","163","1452.1","8.73","3.25","1.14",".299","71.3 %","45.2 %","13.5 %","4.33","4.06","3.96","17.9"
"Mets","77","85","41","663","162","1460.2","8.91","2.98","1.14",".295","73.0 %","42.1 %","12.2 %","4.07","3.97","4.03","17.9"
"Rays","90","72","52","715","162","1448.1","8.83","3.11","1.02",".278","73.3 %","43.9 %","11.5 %","3.75","3.82","3.98","17.8"
"Mariners","89","73","60","699","162","1448.2","8.25","2.49","1.21",".295","72.5 %","42.5 %","12.7 %","4.13","4.05","4.06","16.2"
"Brewers","96","67","49","722","163","1461.0","8.80","3.41","1.07",".279","74.4 %","43.2 %","12.5 %","3.73","4.01","4.04","15.5"
"Nationals","82","80","40","724","162","1446.0","8.82","3.03","1.23",".287","74.8 %","41.2 %","12.8 %","4.04","4.15","4.13","15.4"
"Cardinals","88","74","43","727","162","1455.1","8.27","3.67","0.89",".293","73.0 %","44.6 %","10.5 %","3.85","3.97","4.24","15.1"
"Braves","90","72","40","715","162","1456.2","8.79","3.92","0.95",".278","74.1 %","43.3 %","11.2 %","3.75","3.99","4.17","14.8"
"Cubs","95","68","46","763","163","1476.1","8.13","3.79","0.96",".284","76.2 %","45.0 %","11.5 %","3.65","4.14","4.29","14.7"
"Pirates","82","79","40","641","161","1434.0","8.38","3.12","1.09",".296","73.6 %","43.4 %","12.1 %","4.00","4.06","4.14","14.7"
"Athletics","97","65","44","740","162","1465.2","7.60","2.91","1.13",".270","73.5 %","43.6 %","12.2 %","3.82","4.18","4.25","14.2"
"Diamondbacks","82","80","39","735","162","1463.0","8.91","3.21","1.07",".289","75.7 %","47.3 %","13.7 %","3.73","3.91","3.81","13.5"
"Giants","73","89","36","711","162","1461.1","7.82","3.23","0.96",".293","72.3 %","44.5 %","11.0 %","3.95","3.98","4.20","12.9"
"Twins","78","84","37","728","162","1443.1","8.59","3.57","1.23",".302","72.4 %","41.6 %","13.2 %","4.50","4.39","4.33","12.8"
"Padres","66","96","36","697","162","1457.0","8.64","3.21","1.14",".305","71.1 %","44.4 %","13.6 %","4.41","4.10","3.99","12.4"
"Rangers","67","95","42","668","162","1431.0","7.05","3.09","1.40",".299","69.6 %","43.0 %","14.1 %","4.92","4.79","4.59","11.0"
"Angels","80","82","35","763","162","1437.1","8.68","3.42","1.28",".294","74.1 %","42.1 %","14.1 %","4.15","4.36","4.18","10.8"
"Tigers","64","98","37","704","162","1425.1","7.67","3.10","1.36",".291","70.5 %","39.6 %","12.9 %","4.60","4.59","4.55","9.4"
"White Sox","62","100","34","715","162","1437.0","7.89","4.09","1.23",".292","69.4 %","40.8 %","11.7 %","4.85","4.73","4.88","8.9"
"Reds","67","95","38","706","162","1441.0","7.86","3.32","1.42",".300","71.5 %","44.4 %","15.8 %","4.65","4.68","4.28","8.3"
"Blue Jays","73","89","39","752","162","1433.2","8.15","3.46","1.31",".306","70.0 %","42.5 %","12.7 %","4.85","4.53","4.54","7.8"
"Orioles","47","115","28","652","162","1431.0","7.57","3.70","1.47",".310","70.0 %","41.9 %","14.4 %","5.19","4.98","4.73","6.4"
"Royals","58","104","33","645","162","1432.0","7.27","3.45","1.29",".309","70.6 %","43.1 %","13.0 %","4.95","4.66","4.63","6.2"
"Marlins","63","98","30","707","161","1442.0","7.80","3.78","1.20",".290","69.9 %","40.9 %","12.1 %","4.76","4.57","4.65","3.0"
