Season,data_type,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
2008,team_pitch,White Sox,89,74,34,626,163,1457.2,7.08,2.84,0.96,0.298,0.71,0.455,0.1,4.11,4,4.01,24.8
2008,team_pitch,Diamondbacks,82,80,39,606,162,1434.2,7.71,2.83,0.92,0.297,0.709,0.453,0.099,3.99,3.84,3.87,22.8
2008,team_pitch,Blue Jays,86,76,44,583,162,1446.2,7.37,2.91,0.83,0.284,0.748,0.466,0.093,3.49,3.81,3.92,22.1
2008,team_pitch,Dodgers,84,78,35,623,162,1447.1,7.49,2.98,0.76,0.295,0.726,0.496,0.093,3.68,3.67,3.77,20.2
2008,team_pitch,Cubs,97,64,44,639,161,1450.2,7.84,3.4,0.99,0.281,0.74,0.416,0.098,3.87,4.09,4.14,20
2008,team_pitch,Rockies,74,88,36,647,162,1446,6.48,3.5,0.92,0.309,0.686,0.468,0.1,4.77,4.3,4.32,19.5
2008,team_pitch,Rays,97,65,52,610,162,1457.2,7.06,3.25,1.02,0.277,0.74,0.408,0.093,3.82,4.22,4.35,18.7
2008,team_pitch,Red Sox,95,67,47,628,162,1446.1,7.37,3.41,0.91,0.289,0.726,0.435,0.092,4.01,4.09,4.23,18
2008,team_pitch,Angels,100,62,66,545,162,1451.1,6.86,2.83,0.99,0.296,0.73,0.443,0.098,4,4.12,4.17,17.2
2008,team_pitch,Yankees,89,73,42,637,162,1441.2,7.12,3.05,0.89,0.307,0.71,0.457,0.093,4.28,3.96,4.08,17
2008,team_pitch,Royals,75,87,44,601,162,1445.2,6.75,3.21,0.99,0.298,0.691,0.419,0.092,4.5,4.21,4.36,16.5
2008,team_pitch,Marlins,84,77,36,672,161,1435.1,7.07,3.67,1.01,0.29,0.706,0.417,0.098,4.44,4.37,4.42,15.3
2008,team_pitch,Giants,72,90,41,640,162,1442,7.74,4.07,0.92,0.3,0.714,0.392,0.088,4.38,4.24,4.44,15.2
2008,team_pitch,Phillies,92,70,47,630,162,1449.2,6.71,3.31,0.99,0.292,0.748,0.448,0.108,3.89,4.3,4.21,14.9
2008,team_pitch,Athletics,75,86,33,602,161,1435,6.65,3.61,0.85,0.287,0.722,0.412,0.08,4.01,4.19,4.53,14.7
2008,team_pitch,Brewers,90,72,45,607,162,1455.2,6.86,3.26,1.08,0.285,0.745,0.454,0.117,3.87,4.34,4.14,14.4
2008,team_pitch,Indians,81,81,31,561,162,1437,6.18,2.78,1.06,0.301,0.707,0.447,0.105,4.46,4.33,4.28,13.7
2008,team_pitch,Twins,88,75,42,648,163,1459,6.14,2.5,1.13,0.301,0.721,0.42,0.102,4.18,4.3,4.29,13.5
2008,team_pitch,Mets,89,73,43,719,162,1464.1,7.26,3.63,1,0.289,0.736,0.431,0.105,4.07,4.32,4.26,13.3
2008,team_pitch,Padres,63,99,30,653,162,1458.1,6.79,3.46,1.02,0.294,0.709,0.424,0.101,4.41,4.33,4.33,13.2
2008,team_pitch,Astros,86,75,48,649,161,1425.1,6.91,3.11,1.24,0.293,0.728,0.433,0.121,4.39,4.53,4.24,11.4
2008,team_pitch,Mariners,61,101,36,631,162,1435.1,6.37,3.93,1.01,0.307,0.707,0.447,0.098,4.73,4.59,4.64,9.9
2008,team_pitch,Rangers,79,83,36,619,162,1442,6.01,3.9,1.1,0.315,0.657,0.432,0.102,5.37,4.83,4.82,9.8
2008,team_pitch,Pirates,67,95,34,659,162,1455,5.96,4.06,1.09,0.311,0.695,0.44,0.108,5.1,4.84,4.74,9.5
2008,team_pitch,Cardinals,86,76,42,668,162,1454,5.92,3.07,1.01,0.295,0.729,0.453,0.103,4.2,4.4,4.37,8.8
2008,team_pitch,Reds,74,88,34,669,162,1442.1,7.66,3.48,1.25,0.312,0.725,0.427,0.127,4.55,4.54,4.18,8.5
2008,team_pitch,Tigers,74,88,34,602,162,1445,6.17,4.01,1.07,0.302,0.694,0.42,0.097,4.91,4.79,4.86,8.3
2008,team_pitch,Nationals,59,102,28,678,161,1434,6.67,3.69,1.19,0.296,0.701,0.424,0.116,4.66,4.71,4.49,8.1
2008,team_pitch,Braves,72,90,26,707,162,1440.2,6.72,3.66,0.97,0.293,0.697,0.483,0.114,4.47,4.35,4.2,7.5
2008,team_pitch,Orioles,68,93,35,653,161,1422,5.84,4.35,1.16,0.298,0.701,0.446,0.107,5.15,5.14,5.04,2.8
2009,team_pitch,Rockies,92,70,45,646,162,1438.1,7.22,3.3,0.88,0.299,0.713,0.473,0.099,4.24,3.96,3.99,21.2
2009,team_pitch,White Sox,79,83,36,577,162,1439.2,7,3.17,1.06,0.294,0.717,0.443,0.103,4.16,4.21,4.19,20.2
2009,team_pitch,Giants,88,74,41,619,162,1446,8.1,3.63,0.87,0.279,0.756,0.43,0.091,3.55,3.85,3.99,19.1
2009,team_pitch,Yankees,103,59,51,623,162,1450,7.82,3.56,1.12,0.29,0.719,0.423,0.111,4.28,4.32,4.17,18.8
2009,team_pitch,Braves,86,76,38,650,162,1462.2,7.58,3.26,0.73,0.299,0.738,0.464,0.081,3.57,3.66,3.91,18.7
2009,team_pitch,Red Sox,95,67,41,625,162,1436.2,7.71,3.32,1.05,0.309,0.73,0.409,0.094,4.35,4.14,4.25,18.6
