"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Roger Clemens","- - -","354","184","0","709","707","4916.2","8.55","2.89","0.66",".284","74.6 %","46.8 %","8.9 %","3.12","3.09","3.50","133.7","815"
"Greg Maddux","- - -","355","227","0","744","740","5008.1","6.06","1.80","0.63",".281","72.3 %","51.5 %","12.0 %","3.16","3.26","3.73","116.7","104"
"Randy Johnson","- - -","303","166","2","618","603","4135.1","10.61","3.26","0.89",".291","74.7 %","43.2 %","12.0 %","3.29","3.19","3.23","110.4","60"
"Nolan Ryan","- - -","312","279","2","759","744","5159.2","9.56","4.65","0.53",".266","73.1 %","","","3.18","2.96","","104.9","1011348"
"Bert Blyleven","- - -","287","250","0","692","685","4970.0","6.70","2.39","0.78",".282","74.1 %","","","3.31","3.19","","103.3","1001098"
"Pedro Martinez","- - -","219","100","3","476","409","2827.1","10.04","2.42","0.76",".279","75.9 %","38.8 %","8.9 %","2.93","2.91","3.44","84.4","200"
"Steve Carlton","- - -","282","210","1","622","606","4479.1","7.13","3.20","0.75",".279","73.6 %","","","3.30","3.24","","82.4","1001964"
"Mike Mussina","- - -","270","153","0","537","536","3562.2","7.11","1.98","0.95",".292","72.7 %","43.2 %","10.1 %","3.68","3.57","3.68","81.2","837"
"Curt Schilling","- - -","216","146","22","569","436","3261.0","8.60","1.96","0.96",".293","74.6 %","39.6 %","10.5 %","3.46","3.23","3.17","79.8","73"
"John Smoltz","- - -","213","155","154","723","481","3473.0","7.99","2.62","0.75",".283","73.6 %","45.7 %","8.9 %","3.33","3.24","3.28","79.5","115"
"Tom Seaver","- - -","254","173","0","549","543","3980.2","6.91","2.67","0.73",".260","75.9 %","","","2.96","3.08","","79.2","1011708"
"Kevin Brown","- - -","211","144","0","486","476","3256.0","6.63","2.49","0.57",".290","72.2 %","53.7 %","10.2 %","3.28","3.33","3.54","76.5","642"
"Don Sutton","- - -","273","196","3","624","619","4322.2","5.87","2.26","0.84",".257","73.7 %","","","3.26","3.36","","70.4","1012745"
"Gaylord Perry","- - -","219","181","1","488","485","3664.1","5.65","2.33","0.69",".275","72.9 %","","","3.18","3.19","","70.0","1010210"
"Rick Reuschel","- - -","214","191","5","557","529","3548.1","5.11","2.37","0.56",".290","72.5 %","","","3.37","3.22","","68.5","1010852"
"Andy Pettitte","- - -","256","153","0","531","521","3316.0","6.64","2.80","0.78",".308","71.7 %","48.5 %","9.9 %","3.85","3.74","3.70","68.0","840"
"Tom Glavine","- - -","305","203","0","682","682","4413.1","5.32","3.06","0.73",".280","73.9 %","45.2 %","9.4 %","3.54","3.95","4.57","66.7","90"
"CC Sabathia","- - -","246","153","0","538","538","3470.0","7.74","2.75","0.92",".294","73.3 %","45.8 %","10.3 %","3.70","3.72","3.75","66.2","404"
"Justin Verlander","- - -","204","123","0","419","419","2759.0","8.83","2.64","0.89",".285","74.5 %","38.1 %","8.6 %","3.39","3.42","3.76","65.6","8700"
"Roy Halladay","- - -","203","105","1","416","390","2749.1","6.93","1.94","0.77",".292","73.1 %","54.1 %","10.3 %","3.38","3.39","3.23","65.4","1303"
"Phil Niekro","- - -","264","234","9","662","626","4516.0","5.59","3.18","0.85",".273","73.5 %","","","3.51","3.76","","65.2","1009583"
"Tommy John","- - -","229","173","1","567","536","3601.0","3.88","2.29","0.57",".289","71.0 %","","","3.51","3.45","","62.0","1006515"
"Dennis Eckersley","- - -","197","171","390","1071","361","3285.2","6.58","2.02","0.95",".274","73.7 %","","","3.50","3.40","","61.8","1003660"
"Clayton Kershaw","Dodgers","153","69","0","318","316","2096.1","9.77","2.30","0.62",".271","79.0 %","46.3 %","8.2 %","2.39","2.64","2.94","61.6","2036"
"Fergie Jenkins","- - -","215","174","0","475","462","3395.1","6.00","1.92","0.99",".270","73.3 %","","","3.46","3.41","","59.8","1006388"
"Frank Tanana","- - -","240","236","1","638","616","4188.1","5.96","2.70","0.96",".277","73.4 %","","","3.66","3.79","","58.9","1012818"
"David Wells","- - -","239","157","13","660","489","3439.0","5.76","1.88","1.07",".293","70.7 %","45.3 %","10.1 %","4.13","3.99","4.12","58.3","855"
"Chuck Finley","- - -","200","173","0","524","467","3197.2","7.35","3.75","0.86",".297","73.1 %","49.8 %","8.3 %","3.84","3.91","3.51","56.9","384"
"Dwight Gooden","- - -","194","112","3","430","410","2800.2","7.37","3.07","0.67",".288","72.6 %","","","3.51","3.33","","56.7","1004852"
"David Cone","- - -","194","126","1","450","419","2898.2","8.28","3.53","0.80",".280","74.6 %","43.1 %","19.0 %","3.46","3.57","5.46","56.0","1680"
"Jack Morris","- - -","254","186","0","549","527","3824.0","5.83","3.27","0.92",".269","71.6 %","","","3.90","3.94","","55.8","1009211"
"Bret Saberhagen","- - -","167","117","1","399","371","2562.2","6.02","1.65","0.77",".281","72.7 %","","","3.34","3.27","","55.3","1011355"
"Zack Greinke","- - -","187","118","1","455","414","2663.1","8.23","2.15","0.92",".295","75.1 %","44.0 %","10.1 %","3.39","3.39","3.49","55.1","1943"
"Jerry Koosman","- - -","186","186","17","536","458","3312.1","5.94","2.83","0.70",".285","72.3 %","","","3.52","3.33","","54.6","1007103"
"Felix Hernandez","Mariners","168","128","0","404","403","2658.0","8.35","2.64","0.84",".293","74.3 %","53.4 %","11.8 %","3.34","3.46","3.35","54.4","4772"
"Javier Vazquez","- - -","165","160","0","450","443","2840.0","8.04","2.42","1.18",".295","70.8 %","38.6 %","11.1 %","4.22","3.91","3.74","53.6","801"
