Name,playerid
Alfredo Amezaga,1
Garret Anderson,2
Jamie Burke,6
Dennis Cook,8
David Eckstein,10
Darin Erstad,11
Jorge Fabregas,12
Brad Fullmer,13
Benji Gil,14
Troy Glaus,15
Adam Kennedy,19
Bengie Molina,24
Jose Molina,25
Jose Nieves,26
Ramon Ortiz,27
Orlando Palmeiro,28
Julio Ramirez,31
Tim Salmon,32
Scott Spiezio,37
Shawn Wooten,43
Brian Anderson,44
Rod Barajas,45
Miguel Batista,46
Danny Bautista,47
Jay Bell,48
Kyle Blanks,49
Alex Cintron,50
Greg Colbrunn,51
Craig Counsell,52
Steve Finley,54
Luis Gonzalez,55
Mark Grace,56
Jose Guillen,57
Rick Helling,58
Randy Johnson,60
Byung-Hyun Kim,61
Damian Miller,65
Chad Moeller,66
Mike Morgan,67
John Patterson,71
Armando Reynoso,72
Curt Schilling,73
Junior Spivey,74
Todd Stottlemyre,75
Greg Swindell,76
Matt Williams,77
Tony Womack,78
Ernie Young,79
Henry Blanco,81
Darren Bragg,83
Vinny Castilla,84
Julio Franco,87
Rafael Furcal,88
Marcus Giles,89
Tom Glavine,90
Chris Hammond,92
Wes Helms,94
Andruw Jones,96
Chipper Jones,97
Ryan Langerhans,98
George Lombard,101
Javy Lopez,103
Greg Maddux,104
Jason Marquis,105
Kevin Millwood,106
Horacio Ramirez,110
Mike Remlinger,111
Gary Sheffield,114
John Smoltz,115
B.J. Surhoff,117
Chad Allen,122
Alex Arias,123
Tony Batista,124
Larry Bigbie,128
Mike Bordick,129
Jeff Conine,131
Marty Cordova,132
Brook Fordyce,138
Jay Gibbons,141
Geronimo Gil,142
Jerry Hairston,144
Jose Leon,149
Rodrigo Lopez,150
Luis Matos,152
Gary Matthews Jr.,153
Ryan McGuire,155
Izzy Molina,156
Melvin Mora,157
Chris Richard,163
Brian Roberts,166
David Segui,169
Chris Singleton,170
Scott Cousins,173
Carlos Baerga,175
Kevin Brown,178
John Burkett,179
Frank Castillo,180
Tony Clark,182
Johnny Damon,185
Brian Daubach,186
Nomar Garciaparra,190
Rickey Henderson,194
Dustin Hermanson,195
Shea Hillenbrand,196
Danny Worth,198
Derek Lowe,199
Pedro Martinez,200
Lou Merloni,201
Doug Mirabelli,202
Trot Nixon,204
Jose Offerman,205
Darren Oliver,206
Calvin Pickering,208
Manny Ramirez,210
Will Venable,211
Rey Sanchez,213
Jason Varitek,217
Tim Wakefield,219
Sandy Alomar Jr.,221
Joe Borchard,224
Mark Buehrle,225
Royce Clayton,226
Joe Crede,227
Ray Durham,230
Jon Garland,232
Tony Graffanino,235
Willie Harris,236
Tim Hummel,238
Mark Johnson,240
Paul Konerko,242
Carlos Lee,243
Jeff Liefer,245
Kenny Lofton,246
Magglio Ordonez,248
Josh Paul,251
Todd Ritchie,253
Aaron Rowand,254
Frank Thomas,255
Jose Valentin,256
Moises Alou,261
Mark Bellhorn,264
Alan Benes,265
Jason Bere,266
Roosevelt Brown,268
Hee Seop Choi,270
Matt Clement,271
Delino DeShields,275
Jeff Fassero,279
Joe Girardi,280
Alex Gonzalez,281
Bobby Hill,283
Todd Hundley,284
Darren Lewis,286
Jon Lieber,287
Robert Machado,289
Fred McGriff,293
Adam Melhuse,294
Bill Mueller,295
Augie Ojeda,297
Luis Ordaz,298
Donovan Osborne,299
Corey Patterson,300
Mark Prior,301
Sammy Sosa,302
Chris Stynes,303
Kerry Wood,304
Carlos Zambrano,305
Jose Acevedo,307
Aaron Boone,311
Ben Broussard,312
Sean Casey,314
Juan Castro,315
Gookie Dawkins,316
Elmer Dessens,317
Adam Dunn,319
Juan Encarnacion,320
Ken Griffey Jr.,327
Joey Hamilton,328
Jimmy Haynes,329
Austin Kearns,332
Barry Larkin,335
Brandon Larson,336
Jason LaRue,337
Ruben Mateo,340
Corky Miller,342
Wily Mo Pena,344
Chris Reitsma,348
Jose Rijo,349
Dane Sardinha,353
Jose Silva,354
Kelly Stinnett,356
Reggie Taylor,358
Todd Walker,359
Kevin Witt,362
Brady Anderson,364
Bruce Aven,366
Milton Bradley,369
Russell Branyan,370
Ellis Burks,372
Jolbert Cabrera,373
Bartolo Colon,375
Einar Diaz,378
Todd Dunwoody,381
Alex Escobar,383
Travis Fryman,385
Ricky Gutierrez,387
Brooks Kieschnick,389
Matt Lawton,390
Chris Magruder,392
Victor Martinez,393
John McDonald,395
Eddie Perez,400
CC Sabathia,404
Bill Selby,405
Jim Thome,409
Omar Vizquel,411
Jake Westbrook,412
Benny Agbayani,416
Gary Bennett,420
Brent Butler,423
Shawn Chacon,424
Scott Elarton,426
Bobby Estalella,428
Mike Hampton,430
Todd Helton,432
Todd Hollandsworth,433
Jason Jennings,434
Mark Little,438
Kent Mercker,439
Denny Neagle,441
Jose Ortiz,442
Juan Pierre,443
Victor Santos,446
Terry Shumpert,449
John Thomson,453
Juan Uribe,454
Larry Walker,455
Todd Zeile,457
Jacob Cruz,463
Damion Easley,464
Robert Fick,466
Shane Halter,468
Bobby Higginson,469
Brandon Inge,470
Damian Jackson,471
Ryan Jackson,472
Jose Lima,475
Jose Macias,476
Wendell Magee,477
Mitch Meluskey,478
Brian Moehler,480
Eric Munson,481
Dean Palmer,482
Craig Paquette,484
Mark Redman,491
Adam Riggs,492
Mike Rivera,493
Oscar Salazar,495
Randall Simon,497
Matt Walbeck,501
Jeff Weaver,503
Dmitri Young,505
Josh Beckett,510
A.J. Burnett,512
Luis Castillo,513
Ramon Castro,514
Ryan Dempster,517
Cliff Floyd,518
Alex Gonzalez,520
Charles Johnson,523
Derrek Lee,525
Braden Looper,526
Mike Lowell,527
Kevin Millar,529
Abraham Nunez,531
Eric Owens,534
Brad Penny,535
Mike Redmond,538
Mark Smith,540
Julian Tavarez,541
Preston Wilson,545
Brad Ausmus,546
Jeff Bagwell,547
Lance Berkman,548
Craig Biggio,549
Geoff Blum,550
Raul Chavez,553
Morgan Ensberg,556
Richard Hidalgo,561
Brian Hunter,562
Julio Lugo,565
Wade Miller,568
Dave Mlicki,569
Roy Oswalt,571
Tim Redding,573
Shane Reynolds,574
Jose Vizcaino,577
Daryle Ward,579
Gregg Zaun,580
Luis Alicea,584
Danny Ardoin,585
Carlos Beltran,589
Brandon Berger,590
Angel Berroa,591
Juan Brito,592
Dee Brown,593
Paul Byrd,594
Mike Caruso,595
Carlos Febles,598
Ken Harvey,604
A.J. Hinch,606
Raul Ibanez,607
Chuck Knoblauch,609
Brent Mayne,614
Neifi Perez,620
Mark Quinn,621
Joe Randa,623
Donnie Sadler,627
Brandon Barnes,629
Jeff Suppan,633
Mike Sweeney,634
Michael Tucker,635
Andy Ashby,637
Adrian Beltre,639
Kevin Brown,642
Omar Daal,646
Darren Dreifort,647
Shawn Green,651
Marquis Grissom,652
