R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions
598.0,517.0,43.0,0.26657824933686997,0.3757736516357206,0.0,1134.0,50.0,19.0,0
611.0,696.0,23.0,0.2618217054263566,0.40852713178294575,0.0,0.0,0.0,0.0,0
934.0,629.0,126.0,0.3033873343151693,0.4096097201767305,0.0,914.0,219.0,234.0,1
715.0,797.0,47.0,0.26771803154094626,0.43150294508835263,105.0,0.0,1249.0,0.0,0
813.0,993.0,188.0,0.26316704328176604,0.4712324004867026,0.0,1.0,1.0,0.0,0
515.0,656.0,17.0,0.2726777444837919,0.4734404794333969,104.0,0.0,459.0,0.0,0
570.0,621.0,44.0,0.3419298753984352,0.4879745001448855,0.0,203.0,44.0,0.0,0
550.0,591.0,20.0,0.2616965456930477,0.4164844774814167,1243.0,0.0,0.0,0.0,0
775.0,781.0,55.0,0.29398000425441395,0.498191874069347,0.0,0.0,0.0,0.0,0
1113.0,935.0,112.0,0.3070929070929071,0.5678321678321678,0.0,1.0,1.0,7.0,1
718.0,502.0,166.0,0.2748986990829601,0.3550863723608445,0.0,1238.0,1.0,1.0,0
492.0,425.0,73.0,0.2749210645015787,0.36039693279206136,0.0,1030.0,6.0,53.0,0
704.0,861.0,139.0,0.3006700167504188,0.5012562814070352,0.0,0.0,1.0,0.0,0
569.0,274.0,119.0,0.309377307408319,0.38247600295348266,0.0,0.0,0.0,0.0,0
554.0,514.0,19.0,0.2806524184476941,0.4282902137232846,0.0,0.0,0.0,0.0,0
619.0,691.0,24.0,0.2674747474747475,0.43696969696969695,0.0,1.0,937.0,1.0,0
535.0,544.0,16.0,0.2705464238116393,0.40648600621945796,0.0,1.0,1161.0,1.0,0
780.0,633.0,128.0,0.2840552995391705,0.4250691244239631,0.0,0.0,0.0,1359.0,0
1058.0,504.0,794.0,0.29199277543648405,0.4326710816777042,0.0,0.0,0.0,0.0,1
682.0,911.0,2.0,0.2574171029668412,0.4910558464223386,0.0,2.0,5.0,0.0,0
845.0,881.0,57.0,0.30183881064162754,0.4972613458528952,0.0,0.0,0.0,0.0,0
1006.0,537.0,502.0,0.2915927061481362,0.4318218492819106,0.0,0.0,0.0,0.0,0
639.0,621.0,202.0,0.2622143420015761,0.3916469661150512,0.0,936.0,520.0,32.0,0
