playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
aaronha01,1077.0,1121.0,103.0,0.31952861952861955,0.5722222222222222,0.0,29.0,7.0,0.0,1
adamssp01,779.0,364.0,151.0,0.28817541111981204,0.3561080657791699,0.0,511.0,464.0,297.0,0
adcocjo01,513.0,637.0,9.0,0.28286445012787725,0.4856777493606138,0.0,0.0,0.0,0.0,0
ageeto01,553.0,425.0,167.0,0.25703125,0.415625,0.0,0.0,0.0,0.0,0
alfoned01,736.0,696.0,51.0,0.2878296146044625,0.43569979716024343,0.0,535.0,777.0,34.0,0
allendi01,884.0,887.0,103.0,0.29913323926627694,0.5533158637371498,0.0,3.0,651.0,3.0,0
alleyge01,439.0,342.0,63.0,0.2549019607843137,0.3560371517027864,0.0,126.0,24.0,973.0,0
allisbo01,777.0,762.0,81.0,0.25675675675675674,0.47740709459459457,0.0,0.0,0.0,0.0,0
alomaro01,893.0,653.0,322.0,0.3038461538461538,0.4399267399267399,0.0,1381.0,0.0,5.0,1
aloufe01,675.0,571.0,75.0,0.28876055086628166,0.46357174589071526,0.0,0.0,5.0,2.0,0
alouma01,569.0,274.0,119.0,0.309377307408319,0.38247600295348266,0.0,0.0,0.0,0.0,0
aloumo01,742.0,895.0,89.0,0.3032752020416844,0.5142492556358996,0.0,0.0,0.0,0.0,0
anderbr01,726.0,529.0,226.0,0.26103603603603603,0.4349099099099099,0.0,0.0,0.0,0.0,0
anderga01,760.0,946.0,68.0,0.2992861998640381,0.4770564242012237,0.0,0.0,0.0,0.0,0
aparilu01,806.0,456.0,392.0,0.25780981805698594,0.3412289735667697,0.0,0.0,0.0,1483.0,1
applilu01,789.0,692.0,87.0,0.3158111729540301,0.4114615543186972,0.0,39.0,14.0,1242.0,1
ashburi01,930.0,446.0,160.0,0.3116271243479724,0.39037523136463065,0.0,0.0,0.0,0.0,1
aurilri01,597.0,581.0,18.0,0.2749772933696639,0.4336966394187103,0.0,86.0,47.0,1051.0,0
averiea01,1146.0,1077.0,66.0,0.3225145199863341,0.5421933720532969,0.0,0.0,0.0,0.0,1
avilabo01,722.0,464.0,78.0,0.28072079895788105,0.3881893182805037,0.0,1163.0,50.0,9.0,0
baergca01,659.0,686.0,52.0,0.29124193883919286,0.4268774703557312,0.0,1024.0,173.0,50.0,0
bagweje01,1073.0,1093.0,167.0,0.3047298560478594,0.5524397083567022,0.0,0.0,0.0,0.0,1
bailebo01,559.0,535.0,68.0,0.25322652425456166,0.39052069425901204,0.0,0.0,954.0,7.0,0
baileed01,414.0,509.0,17.0,0.2573814494482553,0.43483447658813,985.0,0.0,0.0,0.0,0
baineha01,679.0,835.0,29.0,0.28845795263844864,0.4620548200633974,0.0,0.0,0.0,0.0,0
bakerdu01,704.0,741.0,107.0,0.28055009823182714,0.44341846758349707,0.0,0.0,0.0,0.0,0
bancrda01,777.0,372.0,116.0,0.27923771313941825,0.36188565697091274,0.0,14.0,0.0,1262.0,1
bandosa01,736.0,795.0,60.0,0.25463776606131616,0.4176918570591681,0.0,1.0,1439.0,5.0,0
bankser01,876.0,1020.0,42.0,0.2828958957195702,0.5351418002466092,0.0,0.0,61.0,1115.0,1
barfije01,700.0,700.0,61.0,0.2591376668855329,0.4731888815933465,0.0,0.0,0.0,0.0,0
bartedi01,805.0,486.0,72.0,0.296260969095765,0.4072872949256009,0.0,112.0,1.0,1221.0,0
basske01,503.0,506.0,134.0,0.2713900465800441,0.41676881588624665,0.0,0.0,0.0,0.0,0
batisto01,615.0,702.0,47.0,0.25072755764495186,0.45533915379449297,0.0,94.0,805.0,260.0,0
batteea01,382.0,442.0,13.0,0.27114782113358016,0.40928510395898604,1059.0,0.0,0.0,0.0,0
bauerha01,742.0,606.0,43.0,0.2813567038470294,0.4507170498520373,1.0,0.0,0.0,0.0,0
baylodo01,728.0,722.0,248.0,0.2645962732919255,0.43561076604554866,0.0,0.0,0.0,0.0,0
beckegl01,683.0,360.0,49.0,0.28255007704160245,0.3447611710323575,0.0,1242.0,1.0,1.0,0
bellbu01,671.0,634.0,35.0,0.2834480122324159,0.40462538226299694,0.0,0.0,1206.0,37.0,0
bellde01,637.0,667.0,167.0,0.2764835164835165,0.4224175824175824,0.0,0.0,19.0,0.0,0
belleal01,902.0,1133.0,88.0,0.2969076076645798,0.5744640485676342,0.0,0.0,0.0,0.0,0
bellge02,773.0,921.0,65.0,0.2826281021246206,0.47759328691305125,0.0,1.0,8.0,0.0,0
bellgu01,737.0,817.0,25.0,0.28685037913815425,0.4603292028851489,0.0,0.0,0.0,0.0,0
bellja01,735.0,536.0,72.0,0.2693935119887165,0.4033850493653032,0.0,0.0,7.0,1324.0,0
benchjo01,817.0,1032.0,55.0,0.27011704462326264,0.48756400877834677,1365.0,0.0,46.0,0.0,1
bergewa01,806.0,893.0,35.0,0.3001953125,0.5224609375,0.0,0.0,0.0,0.0,0
bernato01,512.0,383.0,112.0,0.26206140350877194,0.3873355263157895,0.0,984.0,0.0,24.0,0
berrayo01,820.0,999.0,20.0,0.29356514788169463,0.4968025579536371,1222.0,0.0,1.0,0.0,1
bicheda01,704.0,861.0,139.0,0.30067001675041877,0.5012562814070352,0.0,0.0,1.0,0.0,0
biggicr01,874.0,545.0,268.0,0.28800940438871475,0.42554858934169276,427.0,895.0,0.0,0.0,1
bishoma01,882.0,343.0,40.0,0.27239621267297887,0.3702354940519544,0.0,1139.0,0.0,0.0,0
blairpa01,657.0,520.0,135.0,0.26221294363256786,0.4058455114822547,0.0,0.0,2.0,0.0,0
blasido01,708.0,296.0,102.0,0.25963248369887376,0.32918395573997233,0.0,1245.0,4.0,49.0,0
blausje01,594.0,454.0,61.0,0.26810477657935283,0.4152542372881356,0.0,106.0,106.0,964.0,0
