G,W,SO,PCT,ERA,predictions,nameFull
231,103,906,0.5819209039548022,3.787872385379252,0,Mark Buehrle
183,85,1130,0.5944055944055944,3.035866780529462,0,Madison Bumgarner
159,74,1010,0.6115702479338843,3.370420624151968,0,Gerrit Cole
194,85,995,0.5985915492957746,3.2697931034482766,0,Johnny Cueto
139,57,1070,0.5588235294117647,3.487199082919373,0,Yu Darvish
235,75,1127,0.5067567567567568,3.8167539267015713,0,Zack Greinke
165,67,702,0.6320754716981132,3.8874829001367988,0,Roy Halladay
212,91,1307,0.6026490066225165,3.3406779661016945,0,Cole Hamels
196,79,1035,0.5602836879432624,3.6097826086956517,0,Dan Haren
205,85,1264,0.5592105263157895,3.2412965186074434,0,Felix Hernandez
212,106,1014,0.6883116883116883,3.329455560725919,0,Tim Hudson
211,98,1445,0.6666666666666666,2.4812575574365177,1,Clayton Kershaw
198,96,1418,0.6357615894039735,3.069910371318822,0,Corey Kluber
212,79,986,0.5,3.44579226686884,0,Hiroki Kuroda
207,91,1062,0.5909090909090909,3.811524911927529,0,John Lackey
160,76,719,0.6608695652173913,4.1502590673575135,0,Cliff Lee
188,85,1060,0.6390977443609023,3.760963026655202,0,Jon Lester
221,89,1510,0.5597484276729561,3.4618654073199524,0,Tim Lincecum
221,94,810,0.573170731707317,4.0,0,Derek Lowe
221,112,1170,0.6746987951807228,3.0693396226415097,0,Roy Oswalt
228,115,998,0.6388888888888888,3.9919521729133134,0,Andy Pettitte
213,104,1360,0.65,3.101564324071912,0,David Price
218,70,1146,0.5072463768115942,3.595890410958904,0,Jose Quintana
19,5,51,0.625,5.507462686567163,0,Mariano Rivera
219,100,1142,0.6134969325153374,3.826973216401991,0,CC Sabathia
208,99,1678,0.6265822784810127,2.911383285302594,1,Chris Sale
221,91,1317,0.6893939393939394,2.9885496183206106,0,Johan Santana
207,91,1321,0.6453900709219859,3.5801506186121563,0,Max Scherzer
190,73,1048,0.4965986394557823,3.827866630523177,0,Ben Sheets
224,78,1226,0.5,4.262494161606727,0,Javier Vazquez
199,107,1215,0.6524390243902439,3.5375063355296503,0,Justin Verlander
217,117,1234,0.6428571428571429,2.9863450159308145,1,Adam Wainwright
207,102,1119,0.6623376623376623,3.2378187326432717,0,Jered Weaver
225,95,1168,0.6168831168831169,3.4118360417171965,0,Carlos Zambrano
