Name,fg_playerid,MASTER_NAME,retroID,LahmanID,mlbID,bbrefID
Alfredo Amezaga,1,Alfredo Amezaga,ameza001,amezaal01,,amezaal01
Garret Anderson,2,Garret Anderson,andeg001,anderga01,,anderga01
Kevin Appier,3,Kevin Appier,appik001,appieke01,,appieke01
Jamie Burke,6,Jamie Burke,burkj003,burkeja02,,burkeja02
Dennis Cook,8,Dennis Cook,cookd001,cookde01,,cookde01
David Eckstein,10,David Eckstein,ecksd001,eckstda01,,eckstda01
Darin Erstad,11,Darin Erstad,erstd001,erstada01,,erstada01
Jorge Fabregas,12,Jorge Fabregas,fabrj001,fabrejo01,,fabrejo01
Brad Fullmer,13,Brad Fullmer,fullb001,fullmbr01,,fullmbr01
Benji Gil,14,Benji Gil,gil-b001,gilbe01,,gilbe01
Troy Glaus,15,Troy Glaus,glaut001,glaustr01,,glaustr01
Neftali Feliz,18,Neftali Feliz,felin001,felizne01,491703,felizne01
Adam Kennedy,19,Adam Kennedy,kenna001,kennead01,,kennead01
Al Levine,20,Al Levine,levia001,levinal01,,levinal01
Bengie Molina,24,Bengie Molina,molib001,molinbe01,,molinbe01
Jose Molina,25,Jose Molina,molij001,molinjo01,,molinjo01
Jose Nieves,26,Jose Nieves,nievj002,nievejo01,,nievejo01
Ramon Ortiz,27,Ramon Ortiz,ortir002,ortizra01,,ortizra02
Orlando Palmeiro,28,Orlando Palmeiro,palmo001,palmeor01,,palmeor01
Troy Percival,29,Troy Percival,perct001,percitr01,,percitr01
Julio Ramirez,31,Julio Ramirez,ramij001,ramirju01,,ramirju02
Tim Salmon,32,Tim Salmon,salmt001,salmoti01,,salmoti01
Scott Schoeneweis,33,Scott Schoeneweis,schos001,schoesc01,,schoesc01
Aaron Sele,34,Aaron Sele,selea001,seleaa01,,seleaa01
Scot Shields,35,Scot Shields,shies002,shielsc01,,shielsc01
Scott Spiezio,37,Scott Spiezio,spies001,spiezsc01,,spiezsc01
Donne Wall,39,Donne Wall,walld002,walldo01,,walldo01
Jarrod Washburn,40,Jarrod Washburn,washj001,washbja01,,washbja01
Matt Wise,42,Matt Wise,wisem001,wisema01,,wisema01
Shawn Wooten,43,Shawn Wooten,woots001,wootesh01,,wootesh01
Brian Anderson,44,Brian Anderson,andeb002,anderbr02,,anderbr02
Rod Barajas,45,Rod Barajas,barar001,barajro01,,barajro01
Miguel Batista,46,Miguel Batista,batim001,batismi01,,batismi01
Danny Bautista,47,Danny Bautista,bautd001,bautida01,,bautida01
Jay Bell,48,Jay Bell,bellj001,bellja01,,bellja01
Kyle Blanks,49,Kyle Blanks,blank002,blankky01,452035,blankky01
Alex Cintron,50,Alex Cintron,cinta001,cintral01,,cintral01
Greg Colbrunn,51,Greg Colbrunn,colbg001,colbrgr01,,colbrgr01
Craig Counsell,52,Craig Counsell,counc001,counscr01,,counscr01
Steve Finley,54,Steve Finley,finls001,finlest01,,finlest01
Luis Gonzalez,55,Luis Gonzalez,gonzl001,gonzalu01,,gonzalu01
Mark Grace,56,Mark Grace,gracm001,gracema01,,gracema01
Jose Guillen,57,Jose Guillen,guilj001,guilljo01,,guilljo01
Rick Helling,58,Rick Helling,hellr001,helliri01,,helliri01
Randy Johnson,60,Randy Johnson,johnr101,johnsra03,,johnsra03
Byung-Hyun Kim,61,Byung-Hyun Kim,kim-b001,kimby01,,kimby01
Matt Mantei,64,Matt Mantei,mantm001,mantema01,,mantema01
Damian Miller,65,Damian Miller,milld002,milleda02,,milleda02
Chad Moeller,66,Chad Moeller,moelc001,moellch01,,moellch01
Mike Morgan,67,Mike Morgan,morgm001,morgami01,,morgami01
Mike Myers,68,Mike Myers,myerm001,myersmi01,,myersmi01
John Patterson,71,John Patterson,pattj001,pattejo01,,pattejo01
Armando Reynoso,72,Armando Reynoso,reyna001,reynoar02,,reynoar02
Curt Schilling,73,Curt Schilling,schic002,schilcu01,,schilcu01
Junior Spivey,74,Junior Spivey,spivj001,spiveju01,,spiveju01
Todd Stottlemyre,75,Todd Stottlemyre,stott001,stottto01,,stottto01
Greg Swindell,76,Greg Swindell,swing001,swindgr01,,swindgr01
Matt Williams,77,Matt Williams,willm001,willima03,,willima03
Tony Womack,78,Tony Womack,womat001,womacto01,,womacto01
Ernie Young,79,Ernie Young,youne002,younger02,,younger02
Henry Blanco,81,Henry Blanco,blanh001,blanche01,,blanche01
Darren Bragg,83,Darren Bragg,bragd001,braggda01,,braggda01
Vinny Castilla,84,Vinny Castilla,castv001,castivi02,,castivi02
Julio Franco,87,Julio Franco,franj002,francju01,,francju01
Rafael Furcal,88,Rafael Furcal,furcr001,furcara01,,furcara02
Marcus Giles,89,Marcus Giles,gilem001,gilesma01,,gilesma01
Tom Glavine,90,Tom Glavine,glavt001,glavito02,,glavito02
Chris Hammond,92,Chris Hammond,hammc001,hammoch01,,hammoch01
Wes Helms,94,Wes Helms,helmw001,helmswe01,,helmswe01
Darren Holmes,95,Darren Holmes,holmd001,holmeda01,,holmeda01
Andruw Jones,96,Andruw Jones,jonea002,jonesan01,,jonesan01
Chipper Jones,97,Chipper Jones,jonec004,jonesch06,,jonesch06
Ryan Langerhans,98,Ryan Langerhans,langr002,langery01,407798,langery01
Kerry Ligtenberg,100,Kerry Ligtenberg,ligtk001,ligteke01,,ligteke01
George Lombard,101,George Lombard,lombg001,lombage01,,lombage01
Albie Lopez,102,Albie Lopez,lopea002,lopezal02,,lopezal02
Javy Lopez,103,Javy Lopez,lopej001,lopezja01,,lopezja01
Greg Maddux,104,Greg Maddux,maddg002,maddugr01,,maddugr01
Jason Marquis,105,Jason Marquis,marqj001,marquja01,,marquja01
Kevin Millwood,106,Kevin Millwood,millk004,millwke01,,millwke01
Damian Moss,107,Damian Moss,mossd001,mossda01,,mossda01
Horacio Ramirez,110,Horacio Ramirez,ramih002,ramirho01,,ramirho01
Mike Remlinger,111,Mike Remlinger,remlm001,remlimi01,,remlimi01
Gary Sheffield,114,Gary Sheffield,shefg001,sheffga01,,sheffga01
John Smoltz,115,John Smoltz,smolj001,smoltjo01,,smoltjo01
B.J. Surhoff,117,,surhb001,,,surhob.01
Dan Wheeler,120,Dan Wheeler,wheed001,wheelda01,,wheelda01
Chad Allen,122,Chad Allen,allec001,allench01,,allench01
Alex Arias,123,Alex Arias,ariaa001,ariasal01,,ariasal01
Tony Batista,124,Tony Batista,batit001,batisto01,,batisto01
Rick Bauer,125,Rick Bauer,bauer001,bauerri01,,bauerri01
Erik Bedard,126,Erik Bedard,bedae001,bedarer01,407853,bedarer01
Larry Bigbie,128,Larry Bigbie,bigbl001,bigbila01,,bigbila01
Mike Bordick,129,Mike Bordick,bordm001,bordimi01,,bordimi01
Chris Brock,130,Chris Brock,brocc001,brockch01,,brockch01
Jeff Conine,131,Jeff Conine,conij001,coninje01,,coninje01
Marty Cordova,132,Marty Cordova,cordm001,cordoma01,,cordoma01
Scott Erickson,137,Scott Erickson,erics001,ericksc01,,ericksc01
Brook Fordyce,138,Brook Fordyce,fordb001,fordybr01,,fordybr01
Jay Gibbons,141,Jay Gibbons,gibbj002,gibboja01,,gibboja01
Geronimo Gil,142,Geronimo Gil,gil-g001,gilge01,,gilge01
Buddy Groom,143,Buddy Groom,groob001,groombu01,,groombu01
Jerry Hairston,144,Jerry Hairston,hairj001,hairsje01,,hairsje01
Pat Hentgen,145,Pat Hentgen,hentp001,hentgpa01,,hentgpa01
Jason Johnson,147,Jason Johnson,johnj007,johnsja02,,johnsja02
Jorge Julio,148,Jorge Julio,julij001,juliojo01,,juliojo01
Jose Leon,149,Jose Leon,leonj002,leonjo01,,leonjo01
Rodrigo Lopez,150,Rodrigo Lopez,loper001,lopezro01,,lopezro02
Luis Matos,152,Luis Matos,matol001,matoslu01,,matoslu01
Gary Matthews Jr.,153,,mattg002,,,matthga02
Ryan McGuire,155,Ryan McGuire,mcgur001,mcguiry01,,mcguiry01
Izzy Molina,156,Izzy Molina,molii001,moliniz01,,moliniz01
Melvin Mora,157,Melvin Mora,moram002,morame01,,morame01
Sidney Ponson,161,Sidney Ponson,ponss001,ponsosi01,,ponsosi01
Chris Richard,163,Chris Richard,richc001,richach01,,richach01
Brian Roberts,166,Brian Roberts,robeb003,roberbr01,406878,roberbr01
B.J. Ryan,168,,ryanb001,,,ryanb.01
David Segui,169,David Segui,segud001,seguida01,,seguida01
Chris Singleton,170,Chris Singleton,singc001,singlch01,,singlch01
Scott Cousins,173,Scott Cousins,couss001,cousisc01,,cousisc01
Rolando Arrojo,174,Rolando Arrojo,arror001,arrojro01,,arrojro01
Carlos Baerga,175,Carlos Baerga,baerc001,baergca01,,baergca01
Rafael Betancourt,177,Rafael Betancourt,betar001,betanra01,429783,betanra01
Kevin Brown,178,Kevin Brown,browk001,brownke01,,brownke01
John Burkett,179,John Burkett,burkj001,burkejo03,,burkejo03
Frank Castillo,180,Frank Castillo,castf001,castifr01,,castifr01
Tony Clark,182,Tony Clark,clart002,clarkto02,,clarkto02
Johnny Damon,185,Johnny Damon,damoj001,damonjo01,,damonjo01
Brian Daubach,186,Brian Daubach,daubb001,daubabr01,,daubabr01
Casey Fossum,188,Casey Fossum,fossc001,fossuca01,,fossuca01
Rich Garces,189,Rich Garces,garcr001,garceri01,,garceri01
Nomar Garciaparra,190,Nomar Garciaparra,garcn001,garcino01,,garcino01
Wayne Gomes,191,Wayne Gomes,gomew001,gomeswa01,,gomeswa01
Chris Haney,192,Chris Haney,hanec001,haneych01,,haneych01
Rickey Henderson,194,Rickey Henderson,hendr001,henderi01,,henderi01
